title,url,pageid,state,level,description,instance_of,founded,website,school_district,nces_id,postal_code,wikidata_qid,lat,lon,pageviews_60d,thumbnail,source_category
Diamond School,https://en.wikipedia.org/wiki/Diamond_School,53852367,,,United States historic place,school building,,,,,,Q30622545,17.71305556,-64.82972222,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Diamond_School_01.jpg/330px-Diamond_School_01.jpg,One-room schoolhouses in the United States
Dr. Rita Hocog Inos Jr./Sr. High School,https://en.wikipedia.org/wiki/Dr._Rita_Hocog_Inos_Jr./Sr._High_School,56302463,,high,Public secondary school,high school,,,,690000200060,,Q48851142,14.1351595,145.1365487,0,,Public high schools in the United States
East Early College High School,https://en.wikipedia.org/wiki/East_Early_College_High_School,14269102,,high,"Public high school in Houston, Texas, United States",high school,,http://www.houstonisd.org/Domain/11091,,482364011262,77003,Q5328266,29.751961,-95.333556,0,,Houston Independent School District high schools
Eastern Schools for the Deaf Athletic Association,https://en.wikipedia.org/wiki/Eastern_Schools_for_the_Deaf_Athletic_Association,45153618,,high,Organization,organization,1927,http://www.esdaa.org,,,,Q18922698,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/ESDAA_logo.jpg/330px-ESDAA_logo.jpg,Schools for the deaf in the United States
Edison Regional Gifted Center,https://en.wikipedia.org/wiki/Edison_Regional_Gifted_Center,15352786,,,"Selective enrollment school in Chicago, Illinois, United States",school,,,,,,Q136207030,,,0,,Chicago Public Schools
Edward A. Reynolds West Side High School,https://en.wikipedia.org/wiki/Edward_A._Reynolds_West_Side_High_School,6689417,,high,Public high school in New York City,high school,,,,360007800619,,Q5341475,,,194,,Alternative schools in the United States
Eisenhower High School (Houston),https://en.wikipedia.org/wiki/Eisenhower_High_School_(Houston),8315045,,high,"School in Houston, Texas, United States",high school,1972,http://www.aldine.k12.tx.us/cms/rise/main.cfm?siteID=123,Aldine Independent School District,480771000066,,Q5349920,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Eisenhower9thGrade.JPG/330px-Eisenhower9thGrade.JPG,Public high schools in Houston
Eleanor Gerson School,https://en.wikipedia.org/wiki/Eleanor_Gerson_School,6662387,,high,"School in Cleveland, , Ohio, United States",high school,1970,http://www.applewoodcenters.org/eleanor-gerson-high-school,,,44102,Q5354283,41.480556,-81.759167,0,,Public high schools in Cleveland
Fagalele Boys School,https://en.wikipedia.org/wiki/Fagalele_Boys_School,39869855,,,Historic building in American Samoa,school building,,,,,,Q14962112,-14.34194444,-170.78611111,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Fagalele_Boys_School_1_-_Leone_American_Samoa.jpg/330px-Fagalele_Boys_School_1_-_Leone_American_Samoa.jpg,Schools in American Samoa
Finneytown Secondary Campus,https://en.wikipedia.org/wiki/Finneytown_Secondary_Campus,8843384,,high,"Public high school in the Finneytown neighborhood of Cincinnati, Ohio, US",high school,,http://www.finneytown.org,Finneytown Local School District,390473302840,45231,Q5450720,39.22972222,-84.51638889,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Finneytown_High_School.jpg/330px-Finneytown_High_School.jpg,Public high schools in Cincinnati
Francis Scott Key School,https://en.wikipedia.org/wiki/Francis_Scott_Key_School,36343444,,elementary,United States historic place,school,,,,,,Q5482420,39.921,-75.1604,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/FS_Key_School_Philly.JPG/330px-FS_Key_School_Philly.JPG,Public elementary schools in Philadelphia
Gifft Hill School,https://en.wikipedia.org/wiki/Gifft_Hill_School,10831864,,high,,high school,1999,,,,,Q5559959,,,0,,High schools in the United States Virgin Islands
Good Hope Country Day School,https://en.wikipedia.org/wiki/Good_Hope_Country_Day_School,24775077,,high,"Independent, college preparatory school in Kingshill, Virgin Islands, USA",school,1738,http://www.stxcountryday.com,,,,Q7587671,17.7525941,-64.768449,0,,High schools in the United States Virgin Islands
Gordon J. Lau Elementary School,https://en.wikipedia.org/wiki/Gordon_J._Lau_Elementary_School,55152694,,elementary,"School in San Francisco, California",school,,,,,,Q39050655,37.794588,-122.40887,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Gordon_J_Lau_Elementary.jpg/330px-Gordon_J_Lau_Elementary.jpg,Schools in San Francisco
Grace Christian Academy (Northern Mariana Islands),https://en.wikipedia.org/wiki/Grace_Christian_Academy_(Northern_Mariana_Islands),56306369,,high,"School in Saipan, Northern Mariana Islands",school,,,,,,Q48814770,15.2075248,145.7284138,0,,Private high schools in the United States
Gregory-Lincoln Education Center,https://en.wikipedia.org/wiki/Gregory-Lincoln_Education_Center,5420940,,middle,K-8 school in the United States,school,,http://www.houstonisd.org/glec,Houston Independent School District,482364005495,,Q5606776,29.7562492,-95.3850229,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/GregoryLincolnESMSSunny.jpg/330px-GregoryLincolnESMSSunny.jpg,Magnet schools in Houston
H. Grady Spruce High School,https://en.wikipedia.org/wiki/H._Grady_Spruce_High_School,11740706,,high,"Public, secondary school in Dallas, Texas, United States",high school,,http://www.dallasisd.org/Domain/402,Dallas Independent School District,481623001360,75217,Q5628268,32.708698,-96.654401,0,,Public high schools in Dallas
Haltom High School,https://en.wikipedia.org/wiki/Haltom_High_School,11473083,,high,"School in Haltom City, Texas, United States",high school,,http://schools.birdvilleschools.net/Domain/787,Shut the Fuck Up,481023000489,76137,Q5643619,32.848257,-97.27957,0,,Birdville Independent School District high schools
Harvard School for Boys (Chicago),https://en.wikipedia.org/wiki/Harvard_School_for_Boys_(Chicago),81316836,,,"Former private school in Chicago, Illinois",day school,,,,,,Q137216525,41.8086,-87.6014,0,,Schools in Chicago
Herbert H. Lehman High School,https://en.wikipedia.org/wiki/Herbert_H._Lehman_High_School,5683092,,high,Public school in New York City,high school,1970,http://www.lehmanhs.com,,360008501964,10461,Q14706352,40.840516,-73.839183,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Lehman_HS_west_wall_jeh.jpg/330px-Lehman_HS_west_wall_jeh.jpg,Public high schools in the Bronx
High School Survey of Student Engagement,https://en.wikipedia.org/wiki/High_School_Survey_of_Student_Engagement,26299397,,high,,high school,,,,,,Q5756569,,,0,,High schools in the United States
High School for Health Professions and Human Services,https://en.wikipedia.org/wiki/High_School_for_Health_Professions_and_Human_Services,3075106,,high,Public school in New York City,high school,,,,360007700691,,Q5756583,40.7325,-73.9827,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Old_Stuyvesant_Campus.jpg/330px-Old_Stuyvesant_Campus.jpg,Public high schools in Manhattan
"High School of Enterprise, Business, & Technology","https://en.wikipedia.org/wiki/High_School_of_Enterprise,_Business,_&_Technology",8848099,,high,Public school in New York City,high school,1996,http://www.ebtbrooklyn.com,,360011903091,,Q14706363,40.71194444,-73.93888889,0,,Public high schools in Brooklyn
High Tech Academy,https://en.wikipedia.org/wiki/High_Tech_Academy,23868870,,high,"Post secondary enrollment options school in Cleveland, Ohio, United States",high school,,,,,44115,Q17079325,,,0,,Public high schools in Cleveland
Hillcrest High School (Dallas),https://en.wikipedia.org/wiki/Hillcrest_High_School_(Dallas),6293564,,high,"School in Dallas, Texas, United States",high school,,http://www.dallasisd.org/hillcrest,Dallas Independent School District,481623001277,75230,Q5762804,32.882954,-96.785024,0,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Hillcrest_HS_Dallas_front.jpg/330px-Hillcrest_HS_Dallas_front.jpg,Public high schools in Dallas
Hillcrest Training School,https://en.wikipedia.org/wiki/Hillcrest_Training_School,26577397,,high,"School in Cincinnati, , Ohio, United States",high school,1850,http://hillcresttrainingschool.com/home,,,,Q14716446,39.24444444,-84.485,0,,Public high schools in Cincinnati
Hills Learning,https://en.wikipedia.org/wiki/Hills_Learning,43425139,,,"School in New York, NY , USA",school,2009,http://www.hillslearning.com/,,,,Q18357862,40.752347,-73.97918,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/315_Mad_Av_from_viaduct_jeh.jpg/330px-315_Mad_Av_from_viaduct_jeh.jpg,Language schools in the United States
Hopwood Middle School,https://en.wikipedia.org/wiki/Hopwood_Middle_School,17093193,,middle,"Secondary school in Saipan, Northern Mariana Islands",secondary school,1949,,,,,Q16995863,15.14036,145.69935,0,,Schools in the Northern Mariana Islands
Houston Academy for International Studies,https://en.wikipedia.org/wiki/Houston_Academy_for_International_Studies,8915172,,high,"Public high school in Houston, Texas, United States",high school,,http://www.houstonisd.org/hais,,482364011263,77004,Q5916349,29.737018,-95.370126,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/HoustonAcadIntlStudiesHoustonTX.JPG/330px-HoustonAcadIntlStudiesHoustonTX.JPG,Charter schools in Houston
IS 318,https://en.wikipedia.org/wiki/IS_318,43033611,,middle,"Public school in New York City, New York",secondary school,,http://www.is318.com,,360011902816,11206,Q17182193,40.70344,-73.94842,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/IS_318.jpg/330px-IS_318.jpg,Public middle schools in Brooklyn
Innovation Diploma Plus High School,https://en.wikipedia.org/wiki/Innovation_Diploma_Plus_High_School,40958000,,high,Public school in New York City,high school,,,,360007806145,,Q16892674,40.78595278,-73.97398889,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/InnovationDiplomaPlusOutsideBuilding.png/330px-InnovationDiplomaPlusOutsideBuilding.png,Public high schools in Manhattan
Ivanna Eudora Kean High School,https://en.wikipedia.org/wiki/Ivanna_Eudora_Kean_High_School,12047044,,high,"High school in Saint Thomas , United States Virgin Islands, United States",high school,1971,http://www.keanvi.com,St. Thomas-St. John School District,780003000015,00802-1373,Q6098221,18.3242,-64.8551,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Ivanna_Eudora_Kean_High_School.jpg/330px-Ivanna_Eudora_Kean_High_School.jpg,High schools in the United States Virgin Islands
James Ford Rhodes High School,https://en.wikipedia.org/wiki/James_Ford_Rhodes_High_School,6743069,,high,"Public high school in Cleveland, Ohio, United States",high school,,http://www.cmsdnet.net,Cleveland Metropolitan School District,390437800480,44144,Q14716524,41.43027778,-81.72138889,0,,Public high schools in Cleveland
John Philip Sousa Junior High School (Bronx),https://en.wikipedia.org/wiki/John_Philip_Sousa_Junior_High_School_(Bronx),19574774,,high,"School in The Bronx, New York, United States",secondary school,1958,,,,10466,Q6252780,40.88583333,-73.84055556,0,,Public middle schools in the Bronx
John Wayne Elementary School,https://en.wikipedia.org/wiki/John_Wayne_Elementary_School,10026923,,elementary,"School in Brooklyn, New York City",school,,,,,,Q6263279,40.702,-73.9535,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Johnwayneelem1.jpg/330px-Johnwayneelem1.jpg,Public elementary schools in Brooklyn
Jonathan Levin High School for Media and Communications,https://en.wikipedia.org/wiki/Jonathan_Levin_High_School_for_Media_and_Communications,24543822,,high,Public school in New York City,high school,,http://schools.nyc.gov/schoolportals/09/x414/default.htm,,,,Q6273682,40.839844,-73.911153,0,,Public high schools in the Bronx
Judge Barefoot Sanders Law Magnet,https://en.wikipedia.org/wiki/Judge_Barefoot_Sanders_Law_Magnet,5766482,,high,"Public, secondary school in Dallas, Texas, United States",high school,,https://www.dallasisd.org/lawmagnet,Dallas Independent School District,481623005444,75203,Q7432463,32.7522,-96.8067,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Oak_Cliff_September_2016_17_%28Yvonne_A._Ewell_Townview_Center%29.jpg/330px-Oak_Cliff_September_2016_17_%28Yvonne_A._Ewell_Townview_Center%29.jpg,Public magnet schools in Dallas
Julian High School (Chicago),https://en.wikipedia.org/wiki/Julian_High_School_(Chicago),30884579,,high,"School in Chicago, Illinois, United States",high school,1975,,Chicago Public Schools,170993000895,60643,Q6307249,41.706,-87.6545,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Julian_High_School%2C_Chicago.jpg/330px-Julian_High_School%2C_Chicago.jpg,Public high schools in Chicago
KEYS High School,https://en.wikipedia.org/wiki/KEYS_High_School,57128884,,high,"School in Euless, Texas, United States",high school,1987,http://www.hebisd.edu/KEYS,Hurst-Euless-Bedford Independent School District,482406006568,76040,Q54871413,32.8245274,-97.1124054,0,,Hurst-Euless-Bedford Independent School District high schools
Kagman High School,https://en.wikipedia.org/wiki/Kagman_High_School,23792547,,high,"School in Saipan, MP",high school,2002,http://www.pss.cnmi.mp/KagmanHigh/index.cfm,,690000200073,96950,Q6346600,15.16770833,145.78444444,0,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Kagman_High_School.JPG/330px-Kagman_High_School.JPG,Public high schools in the United States
Kathlyn Joy Gilliam Collegiate Academy,https://en.wikipedia.org/wiki/Kathlyn_Joy_Gilliam_Collegiate_Academy,33001761,,high,"Public high school in Dallas, Texas, United States",high school,,http://www.dallasisd.org/gilliam,,481623012028,75241,Q6376953,32.662758,-96.7949,0,,Public high schools in Dallas
Kingwood High School,https://en.wikipedia.org/wiki/Kingwood_High_School,4673954,,high,"School in Kingwood, Texas, United States",high school,1979,http://www.humbleisd.net/khs/site/default.asp,Humble Independent School District,482391005502,77339,Q6413812,30.045733,-95.193782,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/KingwoodHighSchoolHoustonTX.jpg/330px-KingwoodHighSchoolHoustonTX.jpg,Public high schools in Houston
K–8 school,https://en.wikipedia.org/wiki/K–8_school,4875399,,combined,Type of school in the United States,type of educational institution,,,,,,Q5358885,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b5/CoralGablesElementarySchool.jpg/330px-CoralGablesElementarySchool.jpg,K–8 schools in the United States
Lake Highlands High School,https://en.wikipedia.org/wiki/Lake_Highlands_High_School,3613988,,high,"Public, secondary school",high school,,http://www.edline.net/pages/Lake_Highlands_High_School/,Richardson Independent School District,483702004138,,Q6476167,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/LHHS_school_logo.jpg/330px-LHHS_school_logo.jpg,Public high schools in Dallas
Leone High School,https://en.wikipedia.org/wiki/Leone_High_School,39080462,,high,"High school in American Samoa, United States",high school,,https://www.asdoe.net/leone-high-school,,,,Q31143965,-14.34921944,-170.7799,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Leone_high_school.jpg/330px-Leone_high_school.jpg,Public high schools in the United States
Lindsey Hopkins Technical College,https://en.wikipedia.org/wiki/Lindsey_Hopkins_Technical_College,81085044,,,"Public, technical college in the United States",school,,,,,,Q136406099,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Lindsey_Hopkins_Technical_College.jpg/330px-Lindsey_Hopkins_Technical_College.jpg,Miami-Dade County Public Schools schools
Little Village Lawndale High School Campus,https://en.wikipedia.org/wiki/Little_Village_Lawndale_High_School_Campus,22010486,,high,"Public secondary school in Chicago, Illinois, United States",high school,2005,http://www.lvlhs.org,Chicago Public Schools,,60623,Q6652401,41.83516667,-87.73583333,0,,Public high schools in Chicago
Madison High School (Houston),https://en.wikipedia.org/wiki/Madison_High_School_(Houston),4278824,,high,"Public school in Houston, Texas, United States",high school,,,Houston Independent School District,482364002530,,Q6727999,29.6299,-95.43687,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/JamesMadisonHighSchool3.jpg/330px-JamesMadisonHighSchool3.jpg,Magnet schools in Houston
Marianas Baptist Academy,https://en.wikipedia.org/wiki/Marianas_Baptist_Academy,56307848,,high,"School in Saipan, Northern Mariana Islands",school,,,,,,Q48814790,15.151771,145.730795,0,,Private high schools in the United States
Marianas High School,https://en.wikipedia.org/wiki/Marianas_High_School,22000366,,high,"High school in Saipan, Northern Mariana Islands, United States",high school,1969,http://www.marianashighschool.com/,,690000200056,,Q6762084,15.16083333,145.70805556,0,,Public high schools in the United States
Martin Luther King Jr. Educational Campus,https://en.wikipedia.org/wiki/Martin_Luther_King_Jr._Educational_Campus,8399638,,high,Public school campus in New York City,building,,,,,,Q6776053,40.774692,-73.985015,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/MLK_Jr._Educational_Campus.jpg/330px-MLK_Jr._Educational_Campus.jpg,Public high schools in Manhattan
Mendel Catholic High School,https://en.wikipedia.org/wiki/Mendel_Catholic_High_School,80060852,,high,"School in Chicago, Illinois, United States",school,,,,,,Q134835607,,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Front_of_Mendel_Catholic.png/330px-Front_of_Mendel_Catholic.png,Private schools in Chicago
Miami Edison Senior High School,https://en.wikipedia.org/wiki/Miami_Edison_Senior_High_School,10359105,,high,"High school in Little Haiti, Miami, Florida, United States",high school,1930,http://edison.dadeschools.net/,Miami-Dade County Public Schools,120039000600,33127,Q6827311,25.83166667,-80.20472222,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Miami_Edison_Sr_High.jpg/330px-Miami_Edison_Sr_High.jpg,High schools in Miami
Millennium Art Academy,https://en.wikipedia.org/wiki/Millennium_Art_Academy,8753919,,high,Public school in New York City,high school,2003,http://schools.nyc.gov/SchoolPortals/08/X312/default.htm,,,,Q6858791,40.840516,-73.839183,0,,Public high schools in the Bronx
Milwaukee Urban Waldorf School,https://en.wikipedia.org/wiki/Milwaukee_Urban_Waldorf_School,23536524,,high,"School in Wisconsin, United States",high school,,,,,,Q6861841,43.04772222,-87.94730556,0,,Waldorf schools in the United States
Mission Hill School,https://en.wikipedia.org/wiki/Mission_Hill_School,39321835,,middle,"School in Boston, Massachusetts (1997–2022)",school,,http://www.missionhillschool.org/,,,02130,Q17022193,42.30725,-71.11394444,0,,Middle schools in Boston
Moisés E. Molina High School,https://en.wikipedia.org/wiki/Moisés_E._Molina_High_School,3226816,,high,"Public, secondary school in Dallas, Texas",high school,,http://www.moises.molina.net/,Dallas Independent School District,481623007565,75211,Q6894877,32.723088,-96.910709,0,,Public high schools in Dallas
Moog Center for Deaf Education,https://en.wikipedia.org/wiki/Moog_Center_for_Deaf_Education,6184903,,,"School in St. Louis, Missouri, USA",school,1996,http://www.moogcenter.org,,,,Q6907257,38.63619,-90.45206,0,,Schools in St. Louis
Mount Carmel School (Northern Mariana Islands),https://en.wikipedia.org/wiki/Mount_Carmel_School_(Northern_Mariana_Islands),56307597,,high,"School in Saipan, Northern Mariana Islands",school,,,,,,Q48814786,15.1513511,145.7033234,0,,Private high schools in the United States
National Association of Independent Schools,https://en.wikipedia.org/wiki/National_Association_of_Independent_Schools,2092836,,,Accreditation organization for independent schools,non-governmental organization,,https://www.nais.org,,,,Q6970686,,,0,,Private and independent school organizations in the United States
National Council of Labour Colleges,https://en.wikipedia.org/wiki/National_Council_of_Labour_Colleges,41193798,,,,Labor school,1921,,,,,Q16948036,,,0,,Labor schools
Navajo Language Academy,https://en.wikipedia.org/wiki/Navajo_Language_Academy,3699430,,,Non-profit education organization,academy,,http://www.swarthmore.edu/SocSci/tfernal1/nla/nla.htm,,,,Q6981638,,,0,,Native American schools
Norma Coombs Alternative School,https://en.wikipedia.org/wiki/Norma_Coombs_Alternative_School,29752002,,,Public school,school,1972,http://www.normacoombs.net,,,,Q14683503,34.1587,-118.097,0,,Pasadena Unified School District
North Dallas High School,https://en.wikipedia.org/wiki/North_Dallas_High_School,4359119,,high,"High school in Dallas, Texas, United States",high school,,http://www.dallasisd.org/northdallas,Dallas Independent School District,481623001324,75204,Q7055094,32.810525,-96.794828,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/North_Dallas_High_School.jpg/330px-North_Dallas_High_School.jpg,Public high schools in Dallas
Northbrook High School,https://en.wikipedia.org/wiki/Northbrook_High_School,5874715,,high,Public secondary school in the United States,high school,1974,http://nhs.springbranchisd.com/,Spring Branch Independent School District,484110004682,,Q7057724,29.817,-95.5318,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/NorthbrookHighSchoolHouston.JPG/330px-NorthbrookHighSchoolHouston.JPG,Public high schools in Houston
